"artist","title","year","label","genre","source"
"Tanya Boeva*","Обичай Ме","1997","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Andrea (3)","The Best Selection","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия и Kyriacos Georgiou*","Кажи Ми","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Galena (3)","Кой","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","12 Диаманта","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Илия*, Глория, Мария*, Коста*, Весела, Ивана","Поп Фолк Фиеста 4","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Гумени Глави","THE BEST","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Илюзия","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Романа","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Best Ballads 9","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","DJ Folk Collection 10","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Šaban Šaulić, Orkestar Miće Nikolića","Šaban Šaulić","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Тони Дачева","Интуиция","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","10 Години 2","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Влюбена В Живота","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","The Best - Любовница","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Доза Любов","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Петрова (5)","Загадка Е Сърцето","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","Единствен ти","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Maria*","Твоите 100 лица","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Andrea (3)","Best Video Selection ","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Цветелина Янева","Мога Пак","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Erasure","Erasure","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Белите Шишарки*","Флинтстоун","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Море От Любов","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Живей За Мига","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Щастието Е Магия","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Щастието Е Магия","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Щастието Е Магия","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Щастието Е Магия","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Козари*","Капълъ Чаршия","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Петрова (5), Трио Вароша","Пред Камината","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Формация Космос","Богатство","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Недялко Йорданов","Госпожице Любов","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Иван Несторов & Христо Намилев","Тухла В Стената / Мерцедес","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Лили Иванова","Готови ли сте за любов? ","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","За Добро Или Зло","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Ангел С Дяволска Душа","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Василка Томайлова","Стари Шлагери","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Танева","Защо Те Няма","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","За Добро Или Зло","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Лили Иванова","Готови ли сте за любов?","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Нова Мода","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Бягаш Ти От Мен","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Белите Шишарки* с участието на Попа","Тигре, Тигре","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Таня Филипова & Константин Филипов*","Морски Тайни","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Теди, Формация Зорница*","Варна Варна","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Петрова (5), Трио Вароша","Незабрава","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Оркестър Раднево, Десислава Донева*","Оркестър Раднево Солисти","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Даниела Никифорова","Жрица На Нощта","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Еми Стамболова & Формация Фаворит","Чакам Те","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Радо Шишарката","Боже, Боже","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Таня Добрева","Съдба","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Валентин Валдес","Жега","1997","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Носталгия","1997","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Деси Слава*","Нямам Проблеми","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория, Фильо*, Цветелина, Иван*, Стефани (2), Атанас*","Поп Фолк Фиеста 1","1997","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Теди, Формация Зорница*","Кралица На Любовта","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Валентин Валдес","Чака Рака","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Вечна Измама","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","100 Процентова Жена","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория, Фильо*, Деси Слава*, Мария*, Милко*, Руси*","Поп Фолк Фиеста 2","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Танева","За Твое Здраве","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Петрова (5)","Така Те Чаках","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Рени","Искам Те","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Веселин Маринов"," Вино и любов","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Лили Иванова","Частен Случай","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Камелия","Огън Момиче","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Best","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Сашка Васева","Върхът На Мечтите","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кичка Бодурова","Аз и болката ","0","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория & Илия Загоров","Поп-Фолк Фиеста 3","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магапаса","Без Теб","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Selma*","Selma","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Lepa Brena","The Best Of","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Йелена Карлеуша*","Огледалце","1996","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Фики* ft. Галена*","С Друг Ме Бъркаш","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Folk Collection 13","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Достъп Забранен","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2) ft. Аднан Бийтс* и Дессита*","Тексас Плейс","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Човек, Който Носи Разбито Сърце","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Нещо Хладно","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Да Разлаем Кучетата","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница","Скандалът","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Илиян и Алисия","За Последно","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Ивана Live","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Само","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Да Няма Нас","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Борис Дали ft. Емилия","Някой Богат","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Златните Хитове На Пайнер 18","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Чакай Ме Там","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Денис (5) ft. Юнона (2)","Пушка","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Ходи Се Лекувай ","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Бумеранг","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Фики*","Аз Измръзнах","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Заради Теб","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Пролет 2017","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Севджан & орк. Кристал*","Ярим Гелийор","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Екстра Нина Video Selection","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Вероника, Магда, Елена*, Димана, Илиян","Всичко Се Връща","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*, Цветелина Янева и Галин (2)","Коледа","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Хитовете На Планета Пайнер 14","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мариана Калчева","Влюбено Сърце","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Пристрастена","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емануела* ft. Мария Цветкова (2)","Незабравима","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Коста Марков ft. Галена* и Деси Слава*","За Две Жени","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Господин Зает","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Мирише На Любов","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница и Кристиана","Главната","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Рейхан","Рейхан и орк. Кристал","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","От Упор","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","С Тебе Ми Е Най","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Златните Хитове На Ивана","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Само С Теб","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джена","Да Ти Бъда Корона","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Summer Hits 2017","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Есен 2013","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория И Илия Загоров","Поп-Фолк Фиеста 3 ","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Колко Пъти","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина"," Вечна Измама","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Folk Collection 10","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Рейхан","Инан Севгилим","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристал* & Мариана Калчева","Божествена Жена","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Денис (5) ft. Аднан Бийтс* и Гейм Оувър*","Мороко","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Диана Александрова*","Оазис На Любовта","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Записано Е В Сърцето Ми","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Лято, Слънце, Море","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","В Друг Живот","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница","Златните Хитове На Пайнер 22 Яница","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кали","Каква Съм Луда","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Теди Александрова","Корабът-Майка","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2)","Един На Брой","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Изненада","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","Просто Шоу","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Рейхан","В Памет На Рейхан","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Твое Копие","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Зле Те Чувам","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Петрова (5)","Една Жена","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена* и Преслава","Живей","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Димитровград & Златка Иванова","Роден За Мен","1992","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","На Хората В Устата","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Целуни Ме Бързо","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Фики* и Хактан*","По Мъжки","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","На Две Секунди","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Мамасита","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Блясък В Очите","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Preslava*","Mega Mix","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","От Щастието Най-Боли","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джена","Коя","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Не На Мене Тия","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емануела*","Нотариално Заверен","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Теди Александрова ft. Аднан Бийтс*, Гейм Оувър* и Наси","От София До Банско","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Konstantin*","Докато Сърцето Бие","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Няма Граници","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Изход","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кали и Илиян","Мафия","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева & орк. Кристал*","Пиян Отново","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емануела* и Константин","Още Те Обичам","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Истинска","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Dжена*","Моли Се Да Не Почна","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джулия (2) ft. Анелия","За Мене Край Си","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Дует Шик","Обич ","1995","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Удобна","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Хубава Си, Моя Горо","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Добра Новина","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","За Големите Мъже","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Сафари","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Сбогом Завинаги","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Код Червено","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2) и Деси Слава*","Галин","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ani Hoang*","Лекарство За Мъж","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия ft. Галин (2)","Аз Съм Дяволът","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кали ft. Азис","Имаш Ден","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Не Ме Лъжи","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Първи Сме Сега","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Формация Фаворит","Ела, Ела","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Не Съм Ти Ник`ва","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Под Прикритие","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Няма Да Ти Пиша","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Бивша За Секс","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Фики*","Тук Съм","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Tedi Aleksandrova*","Ня'а Проблем","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Пролет 2013","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница","Мома Яница","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Душата В Рая","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Есен 2015","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джена","Диагноза-Ти","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2)","Сменям Ти Адреса","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена* и Деси Слава*","В Тоите Очи","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","The Best Of Преслава - Мастика Пещера - Страст На Кристали","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Изгубена","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Ти Не Си Виновна","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Авантюра","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Между Две Минути","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Силните Печелят В Любовта","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Теди Александрова ft. Азис и Наси","Подгряващи Звездички","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Ще Ме Търсиш","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Не Пускай","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Нека Ми Е Зле","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Да Сме Квит","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Спомен","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Заради Теб","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Имунитет","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Уикенд и Любовна Интрига","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Чорбаджи Иван","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Генерал","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","А Бях Ти Казала","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Козари*","Божи Дар","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джулия (2) ft. Галена*","Поздрав За Жена Ти","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Elena Velevska","Уволнен Си От Живота Ми","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
